Country,Year,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov
"Bahrain, Kingdom of",2012.0,11575.9029902628,,-1950.94707233081,605.396382637838,,,,,8143.83079013527,,-1468.55414902139,,,
"Bahrain, Kingdom of",2013.0,15955.0502193407,,4379.1472290779,288.420969718955,,,,,8306.10789736417,,162.277107228909,,,
"Bahrain, Kingdom of",2014.0,16294.8222013762,,339.771982035543,631.749115605455,,,,,8577.42684491058,,271.318947546386,,,
"Bahrain, Kingdom of",2015.0,17714.2613192447,,1419.43911786845,-883.137506040016,,,,,9006.98151303056,,429.554668119984,,,
Belgium,1997.0,135081.256771398,218689.28775336,,,67809.200917604,,,61612.346718463,77323.9436619718,150717.82001722,,,,
Belgium,1998.0,155918.379152265,224671.22649508,,,68982.575603484,,,62999.835925257,73412.4860807821,155448.96629979,,,,
Belgium,1999.0,187357.9,229591.80452058,,,70627.472241807,,,65579.830743695,96642.52,158733.02031119,,,,
Belgium,2000.0,172514.7,235757.32699479,,,72296.985765172,,,68838.611609157,112218.3,163204.3154837,,,,
Belgium,2001.0,209998.807899999,238779.82967978,,,73832.825982633,,,69957.98650075,111488.8565,164743.74770291,,,,
Belgium,2002.0,246815.7398,242090.50542529,2157.43742127553,3552.46994954427,76263.290864184,,,67068.468284067,149534.133,165751.32038219,20635.5022132524,,,
Belgium,2003.0,309279.651,244664.26833488,540.188685061189,5514.98570149301,77686.997550152,,,66979.951620317,195992.34,166941.16005439,3457.82757937634,,,
Belgium,2004.0,361909.97,248268.27295287,27546.2851273448,8038.7939499279,79554.532192892,,,73028.147093455,215651.7583,168717.70641154,958.015541053342,,,
Belgium,2005.0,350085.4126,251032.24849602,22973.9564914491,20437.5492110065,79844.233108396,,,77218.347402481,201745.2158,171154.46019619,-6920.43218845832,,,
Belgium,2006.0,394984.104,254697.11010858,6572.88923894163,19990.9023591533,80438.658479538,,,78689.699499931,227322.102,174192.21247684,12751.2398164671,,,
Belgium,2007.0,523617.1374,259896.65438756,60082.9275593372,20398.6577145283,81987.621668804,,,84419.823828326,323769.2577,177836.80990346,34121.4813055997,,,
Belgium,2008.0,533202.021,264829.93780679,32181.993376365,-31846.0443810345,84529.043539547,,,86029.649419069,353269.128,180282.00884918,39282.2967760954,,,
Belgium,2009.0,543440.4192,267191.29967783,-15498.5467789926,-3161.79615523157,85863.785527003,,,80332.196477295,411092.4972,181335.79790447,24878.8237046398,,,
Belgium,2010.0,495038.0484,272975.2,-4328.56520461788,6651.05876060606,86182.9,,,80337.8,358795.0878,186792.3,-21170.7008395386,,,
Belgium,2011.0,469142.262,275010.82503778,3234.14981874339,-8716.94995873236,86601.930065224,,,84531.609357548,323315.8503,188408.85231652,-23715.937628605,,,
Belgium,2012.0,450274.2768,278799.24200089,-55159.1637755274,13668.0882714238,87628.055957125,,,85079.994782973,370796.2596,191173.66812763,17990.5950395037,,,
Belgium,2013.0,438762.0441,282092.88515337,-25475.60159711,24598.4809426154,87749.511323762,,,83148.96387377,410944.218,194364.82536718,31296.3309286555,,,
Belgium,2014.0,415122.6438,284237.61085463,3849.42044820147,26958.7331418693,88811.114491165,,,87602.814674825,425884.4262,195437.73203985,41794.7861979145,,,
Belgium,2015.0,362957.3382,287560.34751738,-4145.44266275111,11296.3546793729,89059.183909907,,,90880.495557547,396318.3723,198535.62129169,20269.0303407666,,,
Brazil,1997.0,,625261.5,-2208.74983978,501.11483978,146859.8,,,157132.3,,478401.7,4037.199,,,
Brazil,1998.0,,626548.4,-28.74597482,485.97797482,151591.3,,,156874.8,,474957.1,17587.475,,,
Brazil,1999.0,,630904.2,-355.71073758,96.5177375800001,154150.5,,,142951.7,,476753.7,970.856,,,
Brazil,2000.0,,649896.7,-285.27372839,1980.9961268275,153917.3,,,149832.3,,495979.4,5574.86565810547,,,
Brazil,2001.0,3401.28472028,657748.6,-385.2859908,1180.4169908,157943.7,,,151786.8,114671.053708042,499804.9,-1609.07618,,,
Brazil,2002.0,3456.99534501,670367.9,-35.33929814,356.48029814,163971.3,,,149595.3,107783.784668834,506396.6,-6778.1677628125,,,
Brazil,2003.0,4354.48034494,670220.9,-357.92912485,179.16212485,166589.2,,,143634.7,112301.8548099,503631.7,2156.15293,,,
Brazil,2004.0,7001.00397298,696437.9,-37.7949726999999,792.3619727,173046.3,,,155824.9,106902.10325814,523391.6,-6076.49952,,,
Brazil,2005.0,8025.80165098,723061.5,545.30412217,1225.48787783,176526.1,,,158873.3,106359.45164664,546535.4,204.07602375,,,
Brazil,2006.0,10675.3778,758230.0,-549.75465166,544.12652666,182811.9,,,169455.5,112728.477163815,575418.1,1359.79407861543,,,
Brazil,2007.0,12721.2378278527,802359.1,-1047.10953835313,761.03763015,190250.8,,,189709.5,118797.879995935,612108.4,22192.0536174942,,,
Brazil,2008.0,9808.72451072158,845818.1,-1998.27709802,98.23009802,194141.5,,,213019.1,115086.134236074,651676.7,8618.52280020883,,,
Brazil,2009.0,7877.33406049,880577.2,-2601.94397235,-1522.55902765,199859.3,,,208473.5,146241.094414357,680718.0,10943.8918516484,,,
Brazil,2010.0,23472.28188653,930817.5,8999.5548253,-4264.38983167,207695.1,,,245694.2,204877.324418168,723122.4,33976.84855235,,,
Brazil,2011.0,11581.45185692,970239.1,-9198.97536673,-7656.53194082,212273.3,,,262485.1,223982.585649647,757965.8,17218.26457099,,,
Brazil,2012.0,8757.318584,1001597.2,460.84700743,6941.82851185,217106.8,,,264529.2,246707.9827947,784490.4,17626.72574064,,,
Brazil,2013.0,8506.84926,1032105.7,2761.90621111,6219.16660588,220385.3,,,279943.9,249063.414271716,811720.4,30136.54942419,,,
Brazil,2014.0,12040.76455597,1052164.0,677.84732985,2144.30911913,222177.3,,,268118.9,266524.117450213,829986.7,32745.32660953,,,
Brazil,2015.0,8059.25775855,1022275.8,-3450.7321769,-117.97262532,218985.5,,,230725.7,221696.198919286,803290.3,4483.12049336,,,
Bulgaria,1997.0,,32198.534168121,5.2,8.5,7562.3517537249,,,3945.4045758492,,24224.630718513,94.5,,,
Bulgaria,1998.0,501.4,33665.373235687,118.788826806165,10.6203823867007,10885.507405438,,,5232.6785305361,5059.7,23557.683863412,-131.288967220903,,,
Bulgaria,1999.0,657.1,34938.804221903,207.44537997217,-0.00561356848251834,10195.870703808,,,6404.0556354166,5097.5,25228.108397084,6.16828368390224,,,
Bulgaria,2000.0,699.6,37534.763477011,54.0200653175684,8.153005096988,10421.88639728,,,7459.3963225481,5093.7,27498.516856253,-119.58464497761,,,
Bulgaria,2001.0,798.3,39840.159542221,6.81106684176351,33.5142441686579,10525.070273948,,,8938.7250091425,4977.9,29609.131228126,113.683115448425,,,
Bulgaria,2002.0,666.7,41652.8212515,-235.143014983159,16.8265264659405,10577.982481892,,,9665.9479332929,4590.6,31294.631886509,-279.146619493813,,,
Bulgaria,2003.0,800.619638162927,44501.217548492,62.8547291663707,15.7164873460892,11430.818442112,,,10908.321679272,4528.49834553664,33327.088767585,-109.99387088919,,,
Bulgaria,2004.0,885.165298177437,48239.614406261,-16.7133587818358,7.15371179505362,11976.741547663,,,12412.18567074,3903.08449811615,36484.078787237,-552.055107425323,,,
Bulgaria,2005.0,767.38088718467,51068.984915099,-35.0878856729543,6.02154857226213,12066.358485506,,,15730.40795996,2206.97536366973,39152.760965784,-1782.23370920955,,,
Bulgaria,2006.0,1083.49560707976,55116.791596947,235.567673495556,129.156887094023,12745.366884478,,,17767.574924412,2945.87048989382,42493.693458323,580.602389485581,,,
Bulgaria,2007.0,1128.67333917267,59979.465119113,37.7974110844222,204.356587479444,12615.55448386,,,20087.27639208,2480.64927828369,47377.224749003,-682.930434166312,,,
Bulgaria,2008.0,1389.60544565312,61885.912569073,375.786697829195,20.531791963922,12854.805505353,,,24499.698411095,1833.99246013596,49031.023832894,-574.982860665763,,,
Bulgaria,2009.0,2114.28646279379,59041.981480237,614.062656414684,228.582399309741,12100.980064555,,,20169.888598308,1839.63985644107,46940.310495696,13.21809989772,,,
Bulgaria,2010.0,2616.94459652319,60407.835,494.05,238.05,12358.161,,,16611.737,1805.52227560906,48049.674,-118.66,,,
Bulgaria,2011.0,2869.16297117592,61658.838091399,175.13,-117.43,12647.039871369,,,15880.351993429,1356.55839414388,49011.79753387,-381.57,,,
Bulgaria,2012.0,5331.24048226388,63269.521429782,1836.47,40.63,12414.796773941,,,16169.487783043,2197.90655082199,50843.80475437,679.77,,,
Bulgaria,2013.0,5935.44101224747,61368.207605085,683.3,175.32,12495.611032435,,,16257.507091681,2958.80441198538,48868.510634263,717.88,,,
Bulgaria,2014.0,5432.0,62027.937108418,-52.82,469.5,12485.107965772,,,16822.994801942,4578.0,49548.76243299,2141.07,,,
Bulgaria,2015.0,4001.65,63644.327910424,-597.63,307.28,12710.015056105,,,17269.816486528,4633.98,50946.894460895,403.38,,,
Chile,1997.0,274.251722447074,58314450.1,245.785260393244,743.315784812748,13193782.0,,3869159.9,15787911.6,2060.76990866667,45597274.3,893.8,12553422.1,,
Chile,1998.0,1306.06640914411,61071150.4,792.366114807374,2518.26905565304,13261536.1,,3920698.6,16346410.5,2261.78642111111,48112782.0,261.6,13160755.1,,
Chile,1999.0,3732.25872798455,60723474.9,2320.81041253159,3474.2658806266,13508334.5,,2897480.7,14136897.6,4159.39400047965,47620153.9,2054.1,12315212.7,,
Chile,2000.0,2964.73799403244,62987923.9,54.8032461225445,-820.865273006569,13778926.1,,3473899.5,15527027.9,4486.45887545868,49561356.8,300.0,12963811.2,,
Chile,2001.0,2692.4653832388,64260035.1,-707.998758762767,2094.00394490245,14054290.3,,3619620.8,15875241.5,6531.53656928859,50564429.8,1742.4,13127293.6,,
Chile,2002.0,2337.30634109374,65895797.5,43.7037014172218,3272.10219426085,14324912.9,,3646377.5,16578416.5,8222.8599287926,51915787.5,1318.835,13963740.8,,
Chile,2003.0,2628.21459313765,68143187.8,-154.478773655922,4853.45928573623,14438890.0,,3868669.2,17995641.4,10658.4247927098,53969578.8,1735.94156997,15325316.0,,
Chile,2004.0,4257.00643077746,73626217.8,1225.32615376384,3204.91403616022,15139493.4,,4790014.5,20382730.7,11570.5,58662078.9,1114.15653985513,16617021.5,,
Chile,2005.0,4332.38682811756,78974840.6,202.654723836126,4024.53393930846,15847055.5,,7062173.7,25087573.4,11152.7618624355,63223959.0,-176.364443639022,18525833.5,,
Chile,2006.0,12346.8161464325,84515528.8,7820.17973074162,2264.49835107789,16797088.1,,7409660.5,26706352.5,11770.870393937,67782563.8,970.258134999999,19888476.5,,
Chile,2007.0,19322.0610174254,90032174.0,5802.94165110567,10150.2629546401,17925466.3,,8501114.2,29529691.7,10771.5563628027,72182154.0,-967.44066491683,21555321.0,,
Chile,2008.0,24094.3960788671,92406819.2,5090.31778334139,5162.06886175939,17888604.7,,11162360.5,35044419.3,11055.3778845463,74488111.4,684.58257401783,24178875.1,,
Chile,2009.0,18875.8074239827,93438911.2,-6622.09614761333,20890.700920636,19584775.1,,8866755.2,31169349.8,13478.6626310536,74113831.1,1541.65464570417,22772086.9,,
Chile,2010.0,22874.3086538436,102745866.0,3520.02273112331,12189.5781672247,20304367.6,,11573960.3,34631238.5,20956.9945570055,82553936.9,7524.55541978413,23222166.8,,
Chile,2011.0,27991.6092938776,110978584.4,6165.65078126383,-6964.09470794122,20831781.4,,14307910.1,39848761.8,27120.1359322043,90159878.6,6034.7964187824,25594853.5,,
Chile,2012.0,34827.6727720819,117472847.1,4806.56084898696,10096.4069777966,21545495.1,,16532141.4,44634598.3,36296.0359135286,95898939.8,6326.64895910366,28128616.7,,
Chile,2013.0,35626.2793722448,123268264.4,2125.55097803727,8451.42164343892,22178380.5,,16064162.4,45224488.6,42764.1327294455,101027571.1,9554.10448437618,29200351.2,,
Chile,2014.0,36944.8865471261,126568435.6,1973.48433182434,6603.05338430738,23098000.7,,15032696.8,43391145.7,52670.3181489659,103419580.0,9875.24444195865,28398767.9,,
Chile,2015.0,36815.6227622873,130176291.5,1467.98353573154,-973.126114208592,24245845.9,,14129484.9,43437558.5,52544.4502980443,105894304.5,2653.19131358011,29397738.7,,
"China, P.R.: Hong Kong",1997.0,,,,,176603.0,,,460053.0,,1006587.0,,,,
"China, P.R.: Hong Kong",1998.0,,,-16985.1953864693,-8498.92408331899,178576.0,,,426039.0,,951261.0,-1301.17059734894,,,
"China, P.R.: Hong Kong",1999.0,,,-4897.07179254066,30349.4579639985,184785.0,,,356437.0,,961206.0,-1943.87898442103,,,
"China, P.R.: Hong Kong",2000.0,90525.7824525398,,4416.14460854635,17626.0665288701,189308.0,,,384513.0,15138.9173935351,1004613.0,-468.060456949555,,,
"China, P.R.: Hong Kong",2001.0,110983.968192895,,17451.399502729,22694.4887254427,201295.0,,,395099.0,14198.537899192,1018681.0,-305.091692099174,,,
"China, P.R.: Hong Kong",2002.0,148346.755578353,,21945.2462999506,15774.918882705,207071.0,,,379726.0,14254.6806873557,1008022.0,-2474.88388538575,,,
"China, P.R.: Hong Kong",2003.0,182081.283009146,,25406.499671413,9976.30901182198,211993.0,,,385478.0,9620.89398428443,992325.0,-4375.5075574228,,,
"China, P.R.: Hong Kong",2004.0,201204.862674471,,12435.5236491943,30523.346480043,214931.0,,,398417.0,11857.3358204155,1063050.0,2066.32006139154,,,
"China, P.R.: Hong Kong",2005.0,208749.822637859,,12512.857863665,27990.1583011854,209410.0,,,414447.0,10870.1709126088,1100721.0,-505.824378313276,,,
"China, P.R.: Hong Kong",2006.0,241652.453533989,,25778.756116377,15681.1214909334,211278.0,,,443740.0,11793.1699787768,1167816.0,813.317766495754,,,
"China, P.R.: Hong Kong",2007.0,264035.890533872,,7641.76001715636,69448.723065592,217957.0,,,457767.0,43981.0292892393,1268811.0,32113.0565690585,,,
"China, P.R.: Hong Kong",2008.0,281978.969098768,,6060.96446508313,18455.4091982343,222371.0,,,464129.0,15418.8762015354,1292912.0,-29217.77862467,,,
"China, P.R.: Hong Kong",2009.0,312742.44084843,,25003.1219696252,25784.6635113857,227536.0,,,448037.0,14669.5893237058,1295229.0,1330.83405319642,,,
"China, P.R.: Hong Kong",2010.0,347709.177439064,,33687.7632056352,46998.4898358298,235164.0,,,482497.0,18579.2012348061,1374421.0,5236.51753736253,,,
"China, P.R.: Hong Kong",2011.0,346840.126199214,,-10468.5920300717,30465.4125421784,240934.0,,,531856.0,29661.0649668405,1489771.0,12554.1547451906,,,
"China, P.R.: Hong Kong",2012.0,381719.243919747,,19529.7041045802,20592.416583938,249511.0,,,567956.0,32955.1641829559,1550894.0,7074.88683972693,,,
"China, P.R.: Hong Kong",2013.0,427446.056619591,,43241.3374032191,23124.9640246816,256259.0,,,582518.0,33828.2066163668,1622545.0,7866.74199620111,,,
"China, P.R.: Hong Kong",2014.0,432084.843014635,,-5420.1498155768,41034.3879809193,264110.0,,,581856.0,37943.7818322481,1676735.0,9672.56978498583,,,
"China, P.R.: Hong Kong",2015.0,463825.43061738,,31094.4771195106,54211.1587726509,273153.0,,,563345.0,43680.1496677634,1756572.0,2577.18676706223,,,
"China, P.R.: Mainland",1997.0,,,899.0,0.0,,,,,,,2185.0,,,
"China, P.R.: Mainland",1998.0,,,3830.0,,,,,,,,-667.0,,,
"China, P.R.: Mainland",1999.0,,,10535.0,,,,,,,,-1311.0,,,
"China, P.R.: Mainland",2000.0,,,11307.47,,,,,,,,404.738,,,
"China, P.R.: Mainland",2001.0,,,20686.0,-32.0,,,,,,,400.0,,,
"China, P.R.: Mainland",2002.0,,,12094.5099518252,0.0,,,,,,,-496.9751,,,
