,Code,Year,Banking_crisis_dummy
542,BLZ,2007.0,0.0
543,BLZ,2008.0,0.0
544,BLZ,2009.0,0.0
545,BLZ,2010.0,0.0
546,BLZ,2011.0,0.0
547,BLZ,2012.0,0.0
548,BLZ,2013.0,0.0
549,BLZ,2014.0,0.0
550,BLZ,2015.0,0.0
551,BEN,1997.0,0.0
552,BEN,1998.0,0.0
553,BEN,1999.0,0.0
554,BEN,2000.0,0.0
555,BEN,2001.0,0.0
556,BEN,2002.0,0.0
557,BEN,2003.0,0.0
558,BEN,2004.0,0.0
559,BEN,2005.0,0.0
560,BEN,2006.0,0.0
561,BEN,2007.0,0.0
562,BEN,2008.0,0.0
563,BEN,2009.0,0.0
564,BEN,2010.0,0.0
565,BEN,2011.0,0.0
566,BEN,2012.0,0.0
567,BEN,2013.0,0.0
568,BEN,2014.0,0.0
569,BEN,2015.0,0.0
570,BMU,1997.0,0.0
571,BMU,1998.0,0.0
572,BMU,1999.0,0.0
573,BMU,2000.0,0.0
574,BMU,2001.0,0.0
575,BMU,2002.0,0.0
576,BMU,2003.0,0.0
577,BMU,2004.0,0.0
578,BMU,2005.0,0.0
579,BMU,2006.0,0.0
580,BMU,2007.0,0.0
581,BMU,2008.0,0.0
582,BMU,2009.0,0.0
583,BMU,2010.0,0.0
584,BMU,2011.0,0.0
585,BMU,2012.0,0.0
586,BMU,2013.0,0.0
587,BMU,2014.0,0.0
588,BMU,2015.0,0.0
589,BTN,1997.0,0.0
590,BTN,1998.0,0.0
591,BTN,1999.0,0.0
592,BTN,2000.0,0.0
593,BTN,2001.0,0.0
594,BTN,2002.0,0.0
595,BTN,2003.0,0.0
596,BTN,2004.0,0.0
597,BTN,2005.0,0.0
598,BTN,2006.0,0.0
599,BTN,2007.0,0.0
600,BTN,2008.0,0.0
601,BTN,2009.0,0.0
602,BTN,2010.0,0.0
603,BTN,2011.0,0.0
604,BTN,2012.0,0.0
605,BTN,2013.0,0.0
606,BTN,2014.0,0.0
607,BTN,2015.0,0.0
608,BOL,1997.0,0.0
609,BOL,1998.0,0.0
610,BOL,1999.0,0.0
611,BOL,2000.0,0.0
612,BOL,2001.0,0.0
613,BOL,2002.0,0.0
614,BOL,2003.0,0.0
615,BOL,2004.0,0.0
616,BOL,2005.0,0.0
617,BOL,2006.0,0.0
618,BOL,2007.0,0.0
619,BOL,2008.0,0.0
620,BOL,2009.0,0.0
621,BOL,2010.0,0.0
622,BOL,2011.0,0.0
623,BOL,2012.0,0.0
624,BOL,2013.0,0.0
625,BOL,2014.0,0.0
626,BOL,2015.0,0.0
627,BIH,1997.0,0.0
628,BIH,1998.0,0.0
629,BIH,1999.0,0.0
630,BIH,2000.0,0.0
631,BIH,2001.0,0.0
632,BIH,2002.0,0.0
633,BIH,2003.0,0.0
634,BIH,2004.0,0.0
635,BIH,2005.0,0.0
636,BIH,2006.0,0.0
637,BIH,2007.0,0.0
638,BIH,2008.0,0.0
639,BIH,2009.0,0.0
640,BIH,2010.0,0.0
641,BIH,2011.0,0.0
642,BIH,2012.0,0.0
643,BIH,2013.0,0.0
644,BIH,2014.0,0.0
645,BIH,2015.0,0.0
646,BWA,1997.0,0.0
647,BWA,1998.0,0.0
648,BWA,1999.0,0.0
649,BWA,2000.0,0.0
650,BWA,2001.0,0.0
651,BWA,2002.0,0.0
652,BWA,2003.0,0.0
653,BWA,2004.0,0.0
654,BWA,2005.0,0.0
655,BWA,2006.0,0.0
656,BWA,2007.0,0.0
657,BWA,2008.0,0.0
658,BWA,2009.0,0.0
659,BWA,2010.0,0.0
660,BWA,2011.0,0.0
661,BWA,2012.0,0.0
662,BWA,2013.0,0.0
663,BWA,2014.0,0.0
664,BWA,2015.0,0.0
665,BRA,1997.0,1.0
666,BRA,1998.0,1.0
667,BRA,1999.0,0.0
668,BRA,2000.0,0.0
669,BRA,2001.0,0.0
670,BRA,2002.0,0.0
671,BRA,2003.0,0.0
672,BRA,2004.0,0.0
673,BRA,2005.0,0.0
674,BRA,2006.0,0.0
675,BRA,2007.0,0.0
676,BRA,2008.0,0.0
677,BRA,2009.0,0.0
678,BRA,2010.0,0.0
679,BRA,2011.0,0.0
680,BRA,2012.0,0.0
681,BRA,2013.0,0.0
682,BRA,2014.0,0.0
683,BRA,2015.0,0.0
684,VGB,1997.0,
685,VGB,1998.0,
686,VGB,1999.0,
687,VGB,2000.0,
688,VGB,2001.0,
689,VGB,2002.0,
690,VGB,2003.0,
691,VGB,2004.0,
692,VGB,2005.0,
693,VGB,2006.0,
694,VGB,2007.0,
695,VGB,2008.0,
696,VGB,2009.0,
697,VGB,2010.0,
698,VGB,2011.0,
699,VGB,2012.0,
700,VGB,2013.0,
701,VGB,2014.0,
702,VGB,2015.0,
703,BRN,1997.0,0.0
704,BRN,1998.0,0.0
705,BRN,1999.0,0.0
706,BRN,2000.0,0.0
707,BRN,2001.0,0.0
708,BRN,2002.0,0.0
709,BRN,2003.0,0.0
710,BRN,2004.0,0.0
711,BRN,2005.0,0.0
712,BRN,2006.0,0.0
713,BRN,2007.0,0.0
714,BRN,2008.0,0.0
715,BRN,2009.0,0.0
716,BRN,2010.0,0.0
717,BRN,2011.0,0.0
718,BRN,2012.0,0.0
719,BRN,2013.0,0.0
720,BRN,2014.0,0.0
721,BRN,2015.0,0.0
722,BGR,1997.0,1.0
723,BGR,1998.0,0.0
724,BGR,1999.0,0.0
725,BGR,2000.0,0.0
726,BGR,2001.0,0.0
727,BGR,2002.0,0.0
728,BGR,2003.0,0.0
729,BGR,2004.0,0.0
730,BGR,2005.0,0.0
731,BGR,2006.0,0.0
732,BGR,2007.0,0.0
733,BGR,2008.0,0.0
734,BGR,2009.0,0.0
735,BGR,2010.0,0.0
736,BGR,2011.0,0.0
737,BGR,2012.0,0.0
738,BGR,2013.0,0.0
739,BGR,2014.0,0.0
740,BGR,2015.0,0.0
741,BFA,1997.0,0.0
742,BFA,1998.0,0.0
743,BFA,1999.0,0.0
744,BFA,2000.0,0.0
745,BFA,2001.0,0.0
746,BFA,2002.0,0.0
747,BFA,2003.0,0.0
748,BFA,2004.0,0.0
749,BFA,2005.0,0.0
750,BFA,2006.0,0.0
751,BFA,2007.0,0.0
752,BFA,2008.0,0.0
753,BFA,2009.0,0.0
754,BFA,2010.0,0.0
755,BFA,2011.0,0.0
756,BFA,2012.0,0.0
757,BFA,2013.0,0.0
758,BFA,2014.0,0.0
759,BFA,2015.0,0.0
760,BDI,1997.0,1.0
761,BDI,1998.0,1.0
762,BDI,1999.0,0.0
763,BDI,2000.0,0.0
764,BDI,2001.0,0.0
765,BDI,2002.0,0.0
766,BDI,2003.0,0.0
767,BDI,2004.0,0.0
768,BDI,2005.0,0.0
769,BDI,2006.0,0.0
770,BDI,2007.0,0.0
771,BDI,2008.0,0.0
772,BDI,2009.0,0.0
773,BDI,2010.0,0.0
774,BDI,2011.0,0.0
775,BDI,2012.0,0.0
776,BDI,2013.0,0.0
777,BDI,2014.0,0.0
778,BDI,2015.0,0.0
779,CPV,1997.0,0.0
780,CPV,1998.0,0.0
781,CPV,1999.0,0.0
782,CPV,2000.0,0.0
783,CPV,2001.0,0.0
784,CPV,2002.0,0.0
785,CPV,2003.0,0.0
786,CPV,2004.0,0.0
787,CPV,2005.0,0.0
788,CPV,2006.0,0.0
789,CPV,2007.0,0.0
790,CPV,2008.0,0.0
791,CPV,2009.0,0.0
792,CPV,2010.0,0.0
793,CPV,2011.0,0.0
794,CPV,2012.0,0.0
795,CPV,2013.0,0.0
796,CPV,2014.0,0.0
797,CPV,2015.0,0.0
798,KHM,1997.0,0.0
799,KHM,1998.0,0.0
800,KHM,1999.0,0.0
801,KHM,2000.0,0.0
802,KHM,2001.0,0.0
803,KHM,2002.0,0.0
804,KHM,2003.0,0.0
805,KHM,2004.0,0.0
806,KHM,2005.0,0.0
807,KHM,2006.0,0.0
808,KHM,2007.0,0.0
809,KHM,2008.0,0.0
810,KHM,2009.0,0.0
811,KHM,2010.0,0.0
812,KHM,2011.0,0.0
813,KHM,2012.0,0.0
814,KHM,2013.0,0.0
815,KHM,2014.0,0.0
816,KHM,2015.0,0.0
817,CMR,1997.0,1.0
818,CMR,1998.0,0.0
819,CMR,1999.0,0.0
820,CMR,2000.0,0.0
821,CMR,2001.0,0.0
822,CMR,2002.0,0.0
823,CMR,2003.0,0.0
824,CMR,2004.0,0.0
825,CMR,2005.0,0.0
826,CMR,2006.0,0.0
827,CMR,2007.0,0.0
828,CMR,2008.0,0.0
829,CMR,2009.0,0.0
830,CMR,2010.0,0.0
831,CMR,2011.0,0.0
832,CMR,2012.0,0.0
833,CMR,2013.0,0.0
834,CMR,2014.0,0.0
835,CMR,2015.0,0.0
836,CAN,1997.0,0.0
837,CAN,1998.0,0.0
838,CAN,1999.0,0.0
839,CAN,2000.0,0.0
840,CAN,2001.0,0.0
841,CAN,2002.0,0.0
842,CAN,2003.0,0.0
843,CAN,2004.0,0.0
844,CAN,2005.0,0.0
845,CAN,2006.0,0.0
846,CAN,2007.0,0.0
847,CAN,2008.0,0.0
848,CAN,2009.0,0.0
849,CAN,2010.0,0.0
850,CAN,2011.0,0.0
851,CAN,2012.0,0.0
852,CAN,2013.0,0.0
853,CAN,2014.0,0.0
854,CAN,2015.0,0.0
855,CYM,1997.0,0.0
856,CYM,1998.0,0.0
857,CYM,1999.0,0.0
858,CYM,2000.0,0.0
859,CYM,2001.0,0.0
860,CYM,2002.0,0.0
861,CYM,2003.0,0.0
862,CYM,2004.0,0.0
863,CYM,2005.0,0.0
864,CYM,2006.0,0.0
865,CYM,2007.0,0.0
866,CYM,2008.0,0.0
867,CYM,2009.0,0.0
868,CYM,2010.0,0.0
869,CYM,2011.0,0.0
870,CYM,2012.0,0.0
871,CYM,2013.0,0.0
872,CYM,2014.0,0.0
873,CYM,2015.0,0.0
874,CAF,1997.0,0.0
875,CAF,1998.0,0.0
876,CAF,1999.0,0.0
877,CAF,2000.0,0.0
878,CAF,2001.0,0.0
879,CAF,2002.0,0.0
880,CAF,2003.0,0.0
881,CAF,2004.0,0.0
882,CAF,2005.0,0.0
883,CAF,2006.0,0.0
884,CAF,2007.0,0.0
885,CAF,2008.0,0.0
886,CAF,2009.0,0.0
887,CAF,2010.0,0.0
888,CAF,2011.0,0.0
889,CAF,2012.0,0.0
890,CAF,2013.0,0.0
891,CAF,2014.0,0.0
892,CAF,2015.0,0.0
893,TCD,1997.0,0.0
894,TCD,1998.0,0.0
895,TCD,1999.0,0.0
896,TCD,2000.0,0.0
897,TCD,2001.0,0.0
898,TCD,2002.0,0.0
899,TCD,2003.0,0.0
900,TCD,2004.0,0.0
901,TCD,2005.0,0.0
902,TCD,2006.0,0.0
903,TCD,2007.0,0.0
904,TCD,2008.0,0.0
905,TCD,2009.0,0.0
906,TCD,2010.0,0.0
907,TCD,2011.0,0.0
908,TCD,2012.0,0.0
909,TCD,2013.0,0.0
910,TCD,2014.0,0.0
911,TCD,2015.0,0.0
912,CHI,1997.0,0.0
913,CHI,1998.0,0.0
914,CHI,1999.0,0.0
915,CHI,2000.0,0.0
916,CHI,2001.0,0.0
917,CHI,2002.0,0.0
918,CHI,2003.0,0.0
919,CHI,2004.0,0.0
920,CHI,2005.0,0.0
921,CHI,2006.0,0.0
922,CHI,2007.0,0.0
923,CHI,2008.0,0.0
924,CHI,2009.0,0.0
925,CHI,2010.0,0.0
926,CHI,2011.0,0.0
927,CHI,2012.0,0.0
928,CHI,2013.0,0.0
929,CHI,2014.0,0.0
930,CHI,2015.0,0.0
931,CHL,1997.0,0.0
932,CHL,1998.0,0.0
933,CHL,1999.0,0.0
934,CHL,2000.0,0.0
935,CHL,2001.0,0.0
936,CHL,2002.0,0.0
937,CHL,2003.0,0.0
938,CHL,2004.0,0.0
939,CHL,2005.0,0.0
940,CHL,2006.0,0.0
941,CHL,2007.0,0.0
942,CHL,2008.0,0.0
943,CHL,2009.0,0.0
944,CHL,2010.0,0.0
945,CHL,2011.0,0.0
946,CHL,2012.0,0.0
947,CHL,2013.0,0.0
948,CHL,2014.0,0.0
949,CHL,2015.0,0.0
950,CHN,1997.0,0.0
951,CHN,1998.0,1.0
952,CHN,1999.0,0.0
953,CHN,2000.0,0.0
954,CHN,2001.0,0.0
955,CHN,2002.0,0.0
956,CHN,2003.0,0.0
957,CHN,2004.0,0.0
958,CHN,2005.0,0.0
959,CHN,2006.0,0.0
960,CHN,2007.0,0.0
961,CHN,2008.0,0.0
962,CHN,2009.0,0.0
963,CHN,2010.0,0.0
964,CHN,2011.0,0.0
965,CHN,2012.0,0.0
966,CHN,2013.0,0.0
967,CHN,2014.0,0.0
968,CHN,2015.0,0.0
969,COL,1997.0,0.0
970,COL,1998.0,1.0
